Month,Hour,TempVals_mean,TempVals_median,TempVals_std,DewVals_mean,DewVals_median,DewVals_std,TempVals_cileft,TempVals_ciright,DewVals_cileft,DewVals_ciright
1,0,1.5771317829457339,2.0,5.575997477928203,-5.388759689922482,-5.6,8.032641515764267,-9.351823273793542,12.506086839685011,-21.132737060820446,10.35521768097548
1,1,1.2970703124999996,1.7,5.676198392475478,-5.5935546874999975,-6.0,8.00470369676061,-9.828278536751938,12.422419161751936,-21.282773933150793,10.095664558150796
1,2,1.2094377510040155,1.7,5.663687439967576,-5.515662650602414,-6.0,8.041806987261804,-9.891389631332432,12.310265133340463,-21.27760434563555,10.246279044430722
1,3,1.0565140845070413,1.4,5.6788129857824,-5.237852112676059,-5.0,8.050142262107661,-10.073959367626463,12.186987536640546,-21.016130946407074,10.540426721054956
1,4,1.0882812499999996,1.7,5.94363440961064,-5.217187500000001,-5.3,8.28466254965426,-10.561242192836854,12.737804692836853,-21.455126097322353,11.02075109732235
1,5,0.7300751879699243,1.0,5.999011029133841,-5.275187969924805,-5.6,8.356493520434737,-11.027986429132405,12.488136805072255,-21.65391526997689,11.10353933012728
1,6,0.5856088560885607,1.0,5.7843577310352154,-5.257564575645752,-5.0,8.042611100778972,-10.751732296740462,11.922950008917583,-21.021082333172536,10.505953181881033
1,7,0.5209764918625677,1.0,5.9844691313320935,-5.015732368896927,-5.0,8.274609006962136,-11.208583005548336,12.250535989273471,-21.233966022542713,11.202501284748859
1,8,0.4506616257088845,0.0,6.337069611892217,-5.069754253308128,-6.0,8.540005684926978,-11.969994813599861,12.871318065017629,-21.808165395765002,11.668656889148748
1,9,0.1870402802101576,0.0,6.153613130350636,-5.184413309982482,-5.6,8.216653102560828,-11.874041455277089,12.248122015697403,-21.289053391001705,10.920226771036742
1,10,-0.0535714285714284,0.0,6.387994077397064,-5.622619047619047,-6.0,8.428740256517766,-12.574039820269673,12.466896963126816,-22.14294995039387,10.897711855155777
1,11,0.14768089053803343,0.0,6.463860730330021,-5.164749536178105,-6.0,8.471297509189242,-12.521486140908808,12.816847921984875,-21.768492654189018,11.43899358183281
1,12,-0.37839388145315456,-0.6,6.186790069317172,-5.833843212237093,-6.0,8.100024948538206,-12.50450241731481,11.747714654408501,-21.709892111371975,10.042205686897791
1,13,0.47296819787985855,0.6,6.381219182401909,-4.951236749116609,-5.0,8.51083787294781,-12.034221399627883,12.9801577953876,-21.63247898009432,11.730005481861099
1,14,0.7976102941176467,1.0,6.180189775403688,-5.1988970588235315,-5.0,8.467972304554944,-11.315561665673583,12.910782253908875,-21.796122775751222,11.39832865810416
1,15,1.5303182579564487,1.1,6.0533563322440465,-5.068844221105533,-5.0,8.382764406696362,-10.334260153241882,13.394896669154779,-21.4990624582304,11.361374016019337
1,16,1.9953271028037378,1.7,5.947412857383801,-5.270280373831778,-6.0,8.551390961383232,-9.661602097668512,13.652256303275989,-22.031006658142914,11.490445910479359
1,17,2.547916666666665,2.2,5.801507640920023,-5.247727272727276,-5.6,8.463615314906717,-8.823038309536578,13.91887164286991,-21.83641328994444,11.340958744489889
1,18,2.4672514619883015,2.0,5.521129481464501,-5.804678362573101,-6.0,8.107715843267783,-8.354162321682121,13.288665245658724,-21.695801415377957,10.086444690231755
1,19,2.9549532710280353,2.8,5.685345570685384,-5.163551401869161,-6.0,8.548081596148506,-8.188324047515318,14.098230589571388,-21.91779133032023,11.59068852658191
1,20,2.826134301270417,2.8,5.472938992079236,-4.98511796733213,-5.0,8.365313444905274,-7.900826123204884,13.55309472574572,-21.381132319346467,11.410896384682207
1,21,2.421608040201005,2.0,5.4417987144688,-4.997822445561144,-6.0,8.260596933227873,-8.244317440157843,13.087533520559852,-21.188592434687777,11.192947543565488
1,22,2.2134935304990733,2.0,5.567520143692435,-4.998336414048059,-5.0,8.400402162195332,-8.698845951138098,13.125833012136246,-21.46312465195091,11.466451823854793
1,23,1.829032258064513,2.0,5.514103212018955,-5.362618595825426,-5.6,8.130753427870303,-8.978610037492638,12.636674553621665,-21.29889531445122,10.573658122800367
2,0,2.591144708423325,2.8,5.336749520078031,-5.1213822894168475,-4.4,7.834914409195924,-7.868884350929614,13.051173767776264,-20.477814531440856,10.235049952607163
2,1,2.0645922746781094,1.4,5.357054593657233,-5.412446351931328,-4.7,7.617544521702938,-8.435234728890068,12.564419278246286,-20.342833614469086,9.51794091060643
2,2,1.5551063829787244,1.1,5.166808689662009,-5.4827659574468095,-4.0,7.312327180434514,-8.571838648758813,11.682051414716263,-19.81492723109846,8.849395316204838
2,3,1.8176908752327747,2.0,5.238801478072219,-4.757355679702041,-4.0,7.684180474304904,-8.450360021788775,12.085741772254323,-19.818349409339653,10.303638049935572
2,4,1.369631236442517,1.1,5.3218734110131045,-5.436876355748371,-5.0,7.662797352476032,-9.061240649143167,11.800503122028202,-20.455959166601392,9.58220645510465
2,5,1.2071120689655177,1.0,5.472090295617949,-5.382974137931033,-5.3,7.690640506133291,-9.518184910445662,11.932409048376698,-20.45662952995228,9.690681254090217
2,6,0.8197802197802204,1.0,5.3714742514890315,-5.657582417582417,-5.6,7.480313566871447,-9.708309313138281,11.347869752698722,-20.318997008650452,9.00383217348562
2,7,0.6514000000000008,1.0,5.383942022663953,-5.251399999999999,-5.0,7.53610800664213,-9.901126364421346,11.203926364421347,-20.022171693018574,9.519371693018574
2,8,0.2853061224489796,0.6,5.29187636170478,-5.538367346938774,-5.0,7.361367500697286,-10.08677154649239,10.657383791390348,-19.966647648305454,8.889912954427906
